ortho	Lexique3__phon	Lexique3__lemme	Lexique3__cgram	Lexique3__freqlemfilms2	Lexique3__freqfilms2	Lexique3__islem	Lexique3__nblettres	Lexique3__puorth	Lexique3__puphon	Lexique3__nbsyll	Lexique3__cgramortho
saletés	sal°te	saleté	NOM	17.55	5.59	0	7	0	5	3	NOM
excepté	EksEpte	excepté	PRE	5.59	5.59	1	7	7	6	3	VER,ADJ,PRE
antique	@tik	antique	ADJ	7.21	5.59	1	7	7	4	2	ADJ,NOM
dansent	d@s	danser	VER	137.36	5.58	0	7	0	3	1	VER
cocaïne	kokain	cocaïne	NOM	5.57	5.57	1	7	7	6	3	NOM
mentent	m@t	mentir	VER	185.16	5.57	0	7	0	3	1	VER
paniqué	panike	paniquer	VER	19.76	5.56	0	7	7	6	3	VER,ADJ
faveurs	fav9R	faveur	NOM	36.65	5.56	0	7	0	4	2	NOM
parties	paRti	partir	VER	1111.97	5.56	0	7	0	5	2	NOM,VER
baskets	baskEt	basket	NOM	16.48	5.56	0	7	0	6	2	NOM
torturé	tORtyRe	torturer	VER	25.55	5.56	0	7	7	7	3	VER,ADJ
parfums	paRf1	parfum	NOM	30.0	5.55	0	7	0	5	2	NOM
appuyez	ap8ije	appuyer	VER	40.95	5.55	0	7	0	5	3	VER
poupées	pupe	poupée	NOM	27.59	5.54	0	7	0	4	2	NOM
restant	REst@	restant	NOM	5.74	5.54	1	7	6	5	2	ADJ,NOM,VER
arroser	aRoze	arroser	VER	14.07	5.53	1	7	7	5	3	VER
colonie	koloni	colonie	NOM	8.75	5.53	1	7	7	6	3	NOM
observé	opsERve	observer	VER	42.66	5.53	0	7	7	7	3	VER,ADJ
amateur	amat9R	amateur	NOM	11.66	5.53	1	7	7	6	3	ADJ,NOM
calculs	kalkyl	calcul	NOM	11.47	5.52	0	7	0	6	2	NOM
examiné	Egzamine	examiner	VER	36.36	5.51	0	7	0	8	4	VER
dénonce	den§s	dénoncer	VER	29.57	5.5	0	7	0	0	2	VER
modèles	modEl	modèle	NOM	25.06	5.5	0	7	0	5	2	VER,ADJ,NOM
arnaque	aRnak	arnaque	NOM	6.27	5.49	1	7	7	5	2	NOM,VER
investi	5vEsti	investir	VER	16.5	5.49	0	7	7	6	3	ADJ,VER
capital	kapital	capital	NOM	6.56	5.49	1	7	7	7	3	ADJ,NOM
hanches	@S	hanche	NOM	8.9	5.48	0	7	0	2	1	NOM
déguisé	degize	déguiser	VER	14.89	5.48	0	7	7	6	3	VER,ADJ,NOM
dingues	d5g	dingue	ADJ	58.48	5.47	0	7	0	3	1	ADJ,NOM
éliminé	elimine	éliminer	VER	30.28	5.47	0	7	7	7	4	VER,ADJ
boivent	bwav	boire	VER	339.05	5.47	0	7	0	0	1	VER
bouchon	buS§	bouchon	NOM	7.25	5.47	1	7	7	4	2	NOM
soutenu	sut°ny	soutenir	VER	35.56	5.46	0	7	7	6	3	VER,ADJ
obtiens	Optj5	obtenir	VER	88.08	5.46	0	7	0	0	2	VER
affirme	afiRm	affirmer	VER	15.61	5.46	0	7	0	0	2	VER
insecte	5sEkt	insecte	NOM	13.79	5.46	1	7	7	5	2	NOM
carnage	kaRnaZ	carnage	NOM	5.59	5.46	1	7	6	6	2	NOM
détente	det@t	détente	NOM	5.47	5.42	1	7	7	5	2	NOM
fichier	fiSje	fichier	NOM	11.1	5.42	1	7	5	4	2	NOM
offense	of@s	offense	NOM	7.45	5.41	1	7	7	4	2	NOM,VER
brûlent	bRyl	brûler	VER	110.28	5.41	0	7	0	0	1	VER
échouer	eSwe	échouer	VER	30.62	5.41	1	7	7	4	2	VER
conquis	k§ki	conquérir	VER	14.89	5.4	0	7	7	4	2	ADJ,VER
affiche	afiS	affiche	NOM	9.78	5.38	1	7	7	4	2	NOM,VER
esclave	Esklav	esclave	ADJ	8.98	5.38	1	7	7	6	2	ADJ,NOM
chargez	SaRZe	charger	VER	93.02	5.37	0	7	0	5	2	VER
habitue	abity	habituer	VER	31.89	5.36	0	7	0	0	3	VER
coûtent	kut	coûter	VER	83.15	5.35	0	7	0	0	1	VER
menacer	m°nase	menacer	VER	49.63	5.35	1	7	7	6	3	VER
déjeune	deZ9n	déjeuner	VER	35.43	5.34	0	7	0	0	2	VER
clôture	klotyR	clôture	NOM	6.0	5.34	1	7	7	6	2	NOM,VER
emballe	@bal	emballer	VER	18.86	5.34	0	7	0	0	2	VER
agressé	agRese	agresser	VER	13.39	5.33	0	7	0	6	3	VER
boucher	buSe	boucher	VER	16.23	5.33	1	7	7	4	2	NOM,VER
merdier	mERdje	merdier	NOM	5.34	5.33	1	7	6	5	2	NOM
dessein	des5	dessein	NOM	7.29	5.32	1	7	6	4	2	NOM
stupide	stypid	stupide	NOM	6.77	5.32	1	7	7	6	2	ADJ,NOM
montant	m§t@	montant	NOM	5.97	5.31	1	7	6	4	2	ADJ,NOM,VER
planque	pl@k	planquer	VER	18.79	5.31	0	7	7	4	1	NOM,VER
menteur	m@t9R	menteur	ADJ	8.49	5.3	1	7	6	4	2	ADJ,NOM
rizière	RizjER	rizière	NOM	6.45	5.3	1	7	4	4	2	NOM
savions	savj§	savoir	VER	4516.71	5.3	0	7	0	0	2	VER
calculé	kalkyle	calculer	VER	12.19	5.29	0	7	0	7	3	VER
princes	pR5s	prince	NOM	98.9	5.29	0	7	0	4	1	NOM
empirer	@piRe	empirer	VER	12.93	5.28	1	7	7	5	3	VER
tranche	tR@S	tranche	NOM	6.95	5.28	1	7	7	4	1	NOM,VER
allumez	alyme	allumer	VER	54.8	5.27	0	7	0	5	3	VER
défaire	defER	défaire	VER	12.3	5.26	1	7	6	5	2	VER
méritez	meRite	mériter	VER	97.06	5.25	0	7	0	6	3	VER
